WPointID;longitude;latitude;Name;UsedInOSE;Notes;PostCode;Name_old
1;14.8509;45.4659;Petrina;True;;1336.0;Petrina
2;15.251;45.4618;Vinica;True;;8344.0;Vinica
3;15.2762;45.591;Krasinec;True;;8332.0;Krasinec
4;15.6785;45.894;Harmica;True;;8257.0;Dobova
5;15.6793;46.059;Kunšperk;True;;3256.0;Bistrica ob Sotli
6;15.6008;46.126;Imeno;True;;3254.0;Imeno
7;16.0722;46.4032;Cvetkovci;True;;2273.0;Cvetkovci
8;16.161;46.4047;Ormož;True;;2270.0;Ormož
9;16.263;46.4171;Godeninci ;True;;2277.0;Godeninci
10;15.9935;46.7508;Gerlinci ;True;;9216.0;Gerlinci
11;16.0477;46.7106;Strukovci;True;;9216.0;Skakovci
12;15.6717;46.6967;Ceršak;True;;2215.0;Ceršak
13;15.7403;46.6929;Sladki Vrh;True;;2214.0;Sladki Vrh
14;14.9991;46.6006;Vič (Dravograd);True;;2370.0;Vič (Dravograd)
15;13.518;45.9905;Medana;True;;5212.0;Medana
16;13.6501;45.966;Solkan;True;;5000.0;Solkan
17;13.6495;45.9303;Šempeter pri Gorici;True;;5290.0;Šempeter pri Gorici
18;13.5888;45.8544;Opatje Selo;True;;5291.0;Opatje selo
19;13.8494;45.7084;Sežana;True;;6210.0;Sežana (zahod)
20;13.4251;46.2445;Logje;True;;5223.0;Logje
21;13.5523;46.3362;Bovec;True;;5230.0;Bovec
22;13.5547;46.2462;Sužid;True;;5222.0;Kobarid
23;13.5617;45.9764;Gornje Cerovo;True;;5211.0;Dolnje Cervo
24;13.5732;45.5266;Piran;True;;6330.0;Piran
25;13.6195;46.247;Koseč;True;;5222.0;Koseč
26;13.624;46.0671;Gorenje Polje;True;;5210.0;Anhovo
27;13.6284;45.8872;Merljaki;True;;5291.0;Bilje
28;13.6295;45.8423;Kostanjevica na Krasu;True;;5296.0;Kostanjevica na Krasu
29;13.6372;45.5274;Jagodje;True;;6310.0;Jagodnje
30;13.6383;45.4824;Paracag;True;;6333.0;Parecag
31;13.6865;46.1579;Volčanski Ruti;True;;5220.0;Volčanski Ruti
32;13.6907;45.978;Ravnica;True;;5251.0;Ravnica
33;13.6928;45.888;Gradišče nad Prvačino;True;;5297.0;Arčoni
34;13.7012;45.5282;Semedela;True;;6000.0;Koper
35;13.7512;46.1586;Modrej;True;;5216.0;Most na Soči
36;13.7552;45.9787;Trnovo;True;;5252.0;Voglarji
37;13.7573;45.8887;Zalošče;True;;;
